id;transaction_ref;amount;currency;timestamp;status;notes
1;TXN-2025-001;4555.77;USD;2025-03-29T16:51:26;COMPLETED;International wire transfer
2;TXN-2025-002;4790.11;EUR;2025-03-29T17:37:02;COMPLETED;Business payment
3;TXN-2025-003;24072.91;GBP;2025-03-29T03:39:42;VERIFIED;Property purchase
4;TXN-2025-004;22803.26;JPY;2025-03-29T01:04:13;FLAGGED;High-value transfer
5;TXN-2025-005;31850.09;CHF;2025-03-29T12:08:48;VERIFIED;Investment transfer
6;TXN-2025-006;11961.89;SGD;2025-03-29T08:46:43;FLAGGED;Multiple transfers
7;TXN-2025-007;12077.65;AUD;2025-03-29T16:34:36;COMPLETED;Regular payment
8;TXN-2025-008;20095.05;CAD;2025-03-29T08:27:40;PENDING;Business transaction
9;TXN-2025-009;29989.09;USD;2025-03-29T04:53:56;FLAGGED;Large transfer
10;TXN-2025-010;14663.79;EUR;2025-03-29T09:38:13;COMPLETED;Service payment
